Date,Fut,Tag,Value,month,year
7/3/2003,December 05,Sales,435,7,2003
7/3/2003,December 05,S Change,435,7,2003
7/3/2003,December 05,Purchase,0,7,2003
7/3/2003,December 05,P Change,0,7,2003
7/3/2003,December 05,OI,0,7,2003
7/3/2003,December 05,OI Change,0,7,2003
7/3/2003,Totals,Sales,42702,7,2003
7/3/2003,Totals,S Change,3260,7,2003
7/3/2003,Totals,Purchase,10270,7,2003
7/3/2003,Totals,P Change,1142,7,2003
7/3/2003,Totals,OI,58925,7,2003
7/3/2003,Totals,OI Change,2968,7,2003
8/1/2003,October 03,Sales,1405,8,2003
8/1/2003,October 03,S Change,-344,8,2003
8/1/2003,October 03,Purchase,632,8,2003
8/1/2003,October 03,P Change,13,8,2003
8/1/2003,October 03,OI,3453,8,2003
8/1/2003,October 03,OI Change,14,8,2003
8/1/2003,December 03,Sales,8145,8,2003
8/1/2003,December 03,S Change,-426,8,2003
8/1/2003,December 03,Purchase,7189,8,2003
8/1/2003,December 03,P Change,86,8,2003
8/1/2003,December 03,OI,44911,8,2003
8/1/2003,December 03,OI Change,-63,8,2003
8/1/2003,March 04,Sales,10467,8,2003
8/1/2003,March 04,S Change,-119,8,2003
8/1/2003,March 04,Purchase,1133,8,2003
8/1/2003,March 04,P Change,12,8,2003
8/1/2003,March 04,OI,8757,8,2003
8/1/2003,March 04,OI Change,226,8,2003
8/1/2003,May 04,Sales,6617,8,2003
8/1/2003,May 04,S Change,-19,8,2003
8/1/2003,May 04,Purchase,1456,8,2003
8/1/2003,May 04,P Change,10,8,2003
8/1/2003,May 04,OI,2567,8,2003
8/1/2003,May 04,OI Change,52,8,2003
8/1/2003,July 04,Sales,10122,8,2003
8/1/2003,July 04,S Change,-14,8,2003
8/1/2003,July 04,Purchase,57,8,2003
8/1/2003,July 04,P Change,12,8,2003
8/1/2003,July 04,OI,2401,8,2003
8/1/2003,July 04,OI Change,-28,8,2003
8/1/2003,October 04,Sales,1970,8,2003
8/1/2003,October 04,S Change,67,8,2003
8/1/2003,October 04,Purchase,21,8,2003
8/1/2003,October 04,P Change,4,8,2003
8/1/2003,October 04,OI,109,8,2003
8/1/2003,October 04,OI Change,0,8,2003
8/1/2003,December 04,Sales,2080,8,2003
8/1/2003,December 04,S Change,88,8,2003
8/1/2003,December 04,Purchase,23,8,2003
8/1/2003,December 04,P Change,0,8,2003
8/1/2003,December 04,OI,602,8,2003
8/1/2003,December 04,OI Change,7,8,2003
8/1/2003,March 05,Sales,572,8,2003
8/1/2003,March 05,S Change,0,8,2003
8/1/2003,March 05,Purchase,0,8,2003
8/1/2003,March 05,P Change,0,8,2003
8/1/2003,March 05,OI,10,8,2003
8/1/2003,March 05,OI Change,0,8,2003
8/1/2003,May 05,Sales,306,8,2003
8/1/2003,May 05,S Change,0,8,2003
8/1/2003,May 05,Purchase,0,8,2003
8/1/2003,May 05,P Change,0,8,2003
8/1/2003,May 05,OI,25,8,2003
8/1/2003,May 05,OI Change,0,8,2003
8/1/2003,July 05,Sales,606,8,2003
8/1/2003,July 05,S Change,0,8,2003
8/1/2003,July 05,Purchase,0,8,2003
8/1/2003,July 05,P Change,0,8,2003
8/1/2003,July 05,OI,0,8,2003
8/1/2003,July 05,OI Change,0,8,2003
8/1/2003,December 05,Sales,435,8,2003
8/1/2003,December 05,S Change,0,8,2003
8/1/2003,December 05,Purchase,0,8,2003
8/1/2003,December 05,P Change,0,8,2003
8/1/2003,December 05,OI,0,8,2003
8/1/2003,December 05,OI Change,0,8,2003
8/1/2003,Totals,Sales,42725,8,2003
8/1/2003,Totals,S Change,-767,8,2003
8/1/2003,Totals,Purchase,10511,8,2003
8/1/2003,Totals,P Change,137,8,2003
8/1/2003,Totals,OI,62835,8,2003
8/1/2003,Totals,OI Change,208,8,2003
8/15/2003,October 03,Sales,1070,8,2003
8/15/2003,October 03,S Change,-195,8,2003
8/15/2003,October 03,Purchase,673,8,2003
8/15/2003,October 03,P Change,25,8,2003
8/15/2003,October 03,OI,3371,8,2003
8/15/2003,October 03,OI Change,-129,8,2003
8/15/2003,December 03,Sales,7512,8,2003
8/15/2003,December 03,S Change,-127,8,2003
8/15/2003,December 03,Purchase,7460,8,2003
8/15/2003,December 03,P Change,38,8,2003
8/15/2003,December 03,OI,43086,8,2003
